# ----------------------------------------
# gis portal
# Pages
# 20170901-20180308
# ----------------------------------------

Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/data/environment/,"1,770","1,241",00:00:16,37,36.11%,3.11%,$0.00
/about/,"1,739","1,252",00:00:56,186,43.55%,23.63%,$0.00
/data/energy/,"1,712","1,008",00:00:22,53,13.46%,3.45%,$0.00
/data/demographic/census/,"1,681","1,136",00:04:10,391,43.22%,45.63%,$0.00
/data/society/,"1,679",932,00:00:39,19,21.05%,4.76%,$0.00
/data/demographic/,"1,649","1,121",00:00:18,59,16.07%,3.58%,$0.00
/data/utilities/,"1,471",914,00:00:40,158,44.94%,15.77%,$0.00
/data/planning/,"1,372",927,00:00:38,20,35.00%,4.74%,$0.00
/news/,"1,335",941,00:00:39,106,36.19%,15.81%,$0.00
/data/location/,"1,277",897,00:00:54,32,54.84%,9.40%,$0.00
/data/climate/,"1,264",806,00:00:45,108,61.11%,13.77%,$0.00
/data/boundaries/school-districts/,"1,248",825,00:01:32,666,41.80%,56.81%,$0.00
/data/recreation/trails/,"1,242",852,00:03:41,266,46.27%,36.88%,$0.00
/data/cadastre/turn-gps/,"1,217",893,00:02:33,737,70.42%,62.37%,$0.00
/data/political/,"1,182",836,00:00:22,131,38.93%,8.80%,$0.00
/data/location/address-data/,"1,150",816,00:02:20,211,57.08%,38.09%,$0.00
/data/geoscience/soil/,"1,028",719,00:02:43,504,49.11%,53.70%,$0.00
/data/history/,"1,020",585,00:01:12,59,45.76%,11.76%,$0.00
/blm-utah-offers-new-recreation-maps-for-mobile-devices/,990,818,00:03:42,785,80.13%,79.09%,$0.00
/data/health/,987,618,00:00:20,29,3.45%,3.55%,$0.00
/data/farming/,959,569,00:00:20,13,15.38%,1.46%,$0.00
/data/bioscience/department-wildlife-resources-habitat-areas/,879,528,00:02:48,220,44.14%,35.72%,$0.00
/data/water/watersheds/,878,575,00:02:52,232,45.69%,33.37%,$0.00
/data/elevation-and-terrain/2013-2014-lidar/,834,504,00:02:28,256,45.53%,36.93%,$0.00
/data/economy/,825,604,00:00:14,13,23.08%,1.70%,$0.00
/data/aerial-photography/hro/,809,557,00:02:20,254,62.20%,43.26%,$0.00
/data/aerial-photography/naip/,780,501,00:02:57,218,60.09%,44.36%,$0.00
/data/boundaries/zip-codes/,778,461,00:01:25,271,51.10%,42.54%,$0.00
/data/water/wetlands/,770,540,00:03:06,270,54.41%,46.10%,$0.00
/data/elevation-terrain-data/2013-2014-lidar/,762,499,00:03:02,237,51.26%,44.36%,$0.00
/discover/resources/,742,462,00:02:24,147,55.10%,34.37%,$0.00
/data/boundaries/wilderness/,731,514,00:02:43,156,57.59%,30.51%,$0.00
/data/planning/water-related-land/,730,507,00:03:25,155,46.99%,35.75%,$0.00
/about/contact/,721,636,00:02:53,251,74.50%,65.05%,$0.00
/data/energy/uranium/,704,490,00:03:27,374,62.30%,54.69%,$0.00
/data/address-geocoders-locators/,656,424,00:02:37,159,45.06%,38.41%,$0.00
/data/usgs-scanned-topographic-maps/1-to-24000/,656,555,00:04:37,313,75.32%,67.99%,$0.00
/data/transportation/transit/,640,458,00:04:26,164,54.49%,44.69%,$0.00
/data/elevation-and-terrain/2-meter-lidar/,628,308,00:02:55,112,47.32%,24.36%,$0.00
/data/geoscience/quaternary-faults/,615,469,00:03:24,182,47.80%,44.88%,$0.00
/data/society/blm-field-offices-forest-service-stations/,601,523,00:03:10,489,79.35%,79.70%,$0.00
/data/political/voter-precincts/,598,457,00:03:31,313,50.96%,60.54%,$0.00
/data/recreation/ski-areas/,567,338,00:02:36,98,43.43%,31.04%,$0.00
/data/address/address-grids/,552,499,00:01:36,424,87.03%,75.72%,$0.00
/new-84009-zip-code-in-salt-lake-county/,543,504,00:03:02,496,91.53%,90.24%,$0.00
/data/indices/usgs-topo-indices/,532,398,00:02:56,259,39.77%,46.24%,$0.00
/new-2017-google-imagery/,523,388,00:01:55,231,52.38%,35.95%,$0.00
/nad83-and-webmercator-projections/,521,480,00:04:58,455,87.03%,85.41%,$0.00
/data/elevation-terrain-data/10-30-90-meter-elevation-models-usgs-dems/,502,330,00:02:23,215,69.30%,50.00%,$0.00
/data/elevation-and-terrain/contours/,463,259,00:02:08,84,34.52%,23.11%,$0.00
/data/geoscience/aquifers/,442,283,00:02:06,48,67.35%,23.98%,$0.00
/data/transportation/railroads/,437,288,00:01:47,66,45.45%,28.15%,$0.00
/data/environment/deq-land-related-contaminant-cleanup-sites/,428,297,00:04:18,144,55.78%,43.22%,$0.00
/about/maps-on-the-hill/,419,291,00:03:43,272,72.43%,63.96%,$0.00
/data/geoscience/avalanche/,418,258,00:01:56,61,35.48%,20.81%,$0.00
/data/location/building-footprint/,414,286,00:03:10,111,47.32%,42.27%,$0.00
/data/usgs-scanned-topographic-maps-drgs/quad-name-usgs-scanned-topographic-maps-124000-geotiff-2/,414,358,00:04:31,159,79.87%,61.59%,$0.00
/data/recreation/local-parks/,408,239,00:01:40,13,7.69%,14.46%,$0.00
/data/energy/renewable-energy/,394,256,00:03:08,92,53.19%,31.98%,$0.00
/discover/license/,380,198,00:01:21,63,44.44%,19.21%,$0.00
/data/elevation-and-terrain/2016-lidar-gsl/,379,240,00:01:47,35,57.14%,25.59%,$0.00
/data/elevation-terrain-data/2-meter-lidar/,378,214,00:02:27,74,40.54%,31.48%,$0.00
/converting-dojo-amd-projects-to-type-script/,367,345,00:08:37,345,93.04%,93.46%,$0.00
/data/farming/grazing-improvements/,362,205,00:01:59,53,55.56%,23.20%,$0.00
/data/911/,338,237,00:00:57,21,59.09%,15.38%,$0.00
/data/energy/coal/,327,218,00:02:10,56,55.36%,33.03%,$0.00
/my-favorite-sublime-text-3-plugins-configs/,323,270,00:02:33,270,89.26%,83.28%,$0.00
/data/transportation/street-network-analysis/,316,209,00:01:47,31,50.00%,25.63%,$0.00
/data/economy/taxingareas/,310,203,00:03:32,102,52.43%,44.19%,$0.00
/data/society/schools-libraries/,295,235,00:02:45,36,52.78%,27.80%,$0.00
/data/aerial-photography/2016-naip-1-meter-orthophotography/,293,248,00:04:49,34,61.76%,49.49%,$0.00
/data/health/health-care-facilities/,293,220,00:03:58,59,53.33%,41.30%,$0.00
/data/address/census-luca-2020/,292,210,00:04:33,137,74.45%,64.04%,$0.00
/data/indices/usgs-dem-indices/,291,195,00:02:09,109,40.37%,31.62%,$0.00
/data/elevation-and-terrain/2016-lidar-blbrcvuwv/,286,170,00:02:32,46,65.22%,34.27%,$0.00
/developer/web-services/,286,215,00:01:51,59,61.02%,34.27%,$0.00
/data/indices/,285,208,00:00:20,4,50.00%,1.75%,$0.00
/data/water/historic-lake-bonneville/,282,210,00:02:03,101,56.44%,52.13%,$0.00
/data/health/health-small-statistical-areas/,281,209,00:02:50,65,49.23%,32.38%,$0.00
/data/elevation-and-terrain/2017-lidar-washington-co/,274,171,00:02:27,49,67.35%,39.42%,$0.00
/data/aerial-photography/imagery-problems/,270,225,00:01:57,133,82.71%,51.85%,$0.00
/data/aerial-photography/2012-hro-6-inch-color-orthophotography/,269,230,00:02:46,34,73.53%,55.39%,$0.00
/how-to-use-agrc-base-maps-in-qgis/,269,244,00:02:26,234,77.78%,74.35%,$0.00
/data/elevation-terrain-data/10-30-meter-elevation-models-usgs-ned/,265,186,00:02:09,40,70.00%,47.55%,$0.00
/data/elevation-terrain-data/2011-lidar/,264,169,00:01:19,52,51.92%,35.61%,$0.00
/data/google-imagery-license/,261,169,00:01:04,15,50.00%,16.48%,$0.00
/data/utilities/retail-culinary-water-suppliers/,253,173,00:01:49,34,41.18%,26.09%,$0.00
/data/political/2012-2021-house-senate-congressional-districts/,248,196,00:03:54,42,65.12%,45.56%,$0.00
/removing-the-esri-web-adaptor/,244,227,00:02:40,223,92.83%,90.16%,$0.00
/data/geoscience/earthquakes/,240,54,00:01:33,4,25.00%,6.25%,$0.00
/new-utah-geocoding-toolbox-for-arcgis-desktop-2/,240,180,00:03:12,82,70.73%,45.42%,$0.00
/developer/applications/parcels/,239,152,00:02:13,19,57.89%,37.66%,$0.00
/utah-oil-and-gas-gis-data-updates/,238,178,00:00:46,85,25.88%,34.03%,$0.00
/data/water-data-services/flood-areas/,233,165,00:02:48,160,70.00%,67.81%,$0.00
/data/society/liquor-stores/,225,141,00:01:31,47,63.83%,27.11%,$0.00
/data/elevation-and-terrain/2011-lidar/,221,121,00:01:22,38,55.26%,27.15%,$0.00
/data/elevation-and-terrain/exploring-lidar/,217,175,00:01:41,75,56.00%,37.33%,$0.00
/3-dep-lidar-proposal-2018/,214,159,00:02:41,97,75.26%,51.40%,$0.00
/data/society/places-of-worship/,213,127,00:01:29,13,46.67%,15.02%,$0.00
/data/utilities/broadband-internet/,213,154,00:02:02,73,78.08%,45.54%,$0.00
/dumbing-down-terrain-with-contour-polygons/,211,188,00:03:55,143,84.62%,70.14%,$0.00
/data/elevation-terrain-data/contours/,205,152,00:03:21,58,39.66%,36.59%,$0.00
/google-imagery-wms-and-wmts-imagery-services/,205,177,00:00:58,161,68.94%,63.90%,$0.00
/data/usgs-scanned-topographic-maps/1-to-100000/,198,177,00:02:17,98,75.51%,61.62%,$0.00
/developer/applications/vehicle-collision/,193,138,00:03:19,93,66.67%,50.78%,$0.00
/data/elevation-terrain-data/exploring-lidar/,192,145,00:01:17,64,62.50%,36.98%,$0.00
/data/boundaries/conservation-districts/,190,147,00:01:47,47,57.45%,28.42%,$0.00
/data/sgid-base-map-services-arcmap/,187,149,00:01:12,32,40.62%,18.72%,$0.00
/developer/widgets/,186,127,00:01:12,28,64.29%,27.96%,$0.00
/data/recreation/golf-courses/,185,105,00:01:25,23,65.22%,20.00%,$0.00
/data/location/u-s-postal-service/,184,160,00:02:53,135,77.94%,76.63%,$0.00
/developer/base-maps/,181,143,00:00:40,22,22.73%,25.41%,$0.00
/data/discover-server-information/,179,109,00:02:47,26,57.69%,27.37%,$0.00
/developer/applications/,179,128,00:01:24,35,57.14%,25.70%,$0.00
/about/code/,177,123,00:02:15,48,72.92%,47.46%,$0.00
/data/society/public-safety/,176,146,00:02:00,52,58.49%,38.07%,$0.00
/data/usgs-scanned-topographic-maps-drgs/quad-number-usgs-scanned-topographic-maps-124000-geotiff/,176,158,00:03:50,91,81.32%,69.32%,$0.00
/maps-on-the-hill-2018/,176,151,00:03:33,117,69.23%,65.34%,$0.00
/data/transportation/air/,175,137,00:02:59,25,56.00%,30.29%,$0.00
/utah-ng911-gis-database/,174,129,00:03:44,70,72.86%,45.98%,$0.00
/data/location/gnis/,169,116,00:01:10,37,59.46%,33.14%,$0.00
/data/energy/energy-generation/,168,119,00:01:19,14,73.33%,16.67%,$0.00
/data/aerial-photography/doq/,164,113,00:03:24,43,53.49%,42.07%,$0.00
/utah-zip-code-boundaries-update/,164,107,00:01:07,92,54.35%,55.49%,$0.00
/data/economy/enterprise-zones/,161,107,00:01:37,22,45.45%,21.12%,$0.00
/911-psap-map/,154,89,00:02:18,77,81.82%,53.90%,$0.00
/sgid-database/,148,125,00:04:12,60,66.67%,50.68%,$0.00
/lidar-2013-2014-wasatch-front-acquisition-update/,147,114,00:01:05,100,79.00%,70.07%,$0.00
/division-of-water-rights-inventories-irrigation-canals-in-utah/,146,106,00:03:43,95,62.11%,65.75%,$0.00
/agrc-newsletter/,143,107,00:03:10,31,67.74%,53.15%,$0.00
/the-evolution-of-a-python-script/,142,130,00:04:46,80,85.00%,66.20%,$0.00
/data/elevation-and-terrain/2017-lidar-wvw/,140,95,00:01:50,6,33.33%,19.29%,$0.00
/data/environment/drinking-water-systems-protection-zones/,140,88,00:02:39,11,36.36%,17.86%,$0.00
/public-land-survey-system-plss-version-2-0-release/,140,109,00:01:12,62,58.06%,43.57%,$0.00
/data/elevation-terrain-data/5-meter-auto-correlated-elevation-models/,139,82,00:01:48,22,59.09%,35.25%,$0.00
/data/usgs-scanned-topographic-maps-drgs/quad-name-usgs-scanned-topographic-maps-1100000-geotiff/,136,103,00:04:30,61,75.41%,54.41%,$0.00
/data/environment/deq-air-related-contaminant-cleanup-sites/,135,92,00:02:27,6,50.00%,20.74%,$0.00
/transitioning-to-a-new-world-arc-pro/,134,123,00:02:35,77,77.92%,67.16%,$0.00
/dogm-oil-and-gas-wells-data-update/,133,113,00:00:34,61,44.26%,45.11%,$0.00
/image-server/,128,113,00:03:06,87,65.52%,57.81%,$0.00
/mock-your-dojo-amd-modules-with-stubmodule-js/,126,111,00:08:31,109,88.99%,87.30%,$0.00
/data/geoscience/geochronology/,125,41,00:02:01,14,42.86%,16.80%,$0.00
/data/indices/contours-indices/,124,82,00:02:34,53,50.00%,45.97%,$0.00
/2016-utah-lidar-acquisition/,123,82,00:01:28,30,46.67%,27.64%,$0.00
/data/water-data-services/,123,70,00:01:04,7,28.57%,10.57%,$0.00
/municipal-boundaries-update-for-third-quarter-2017-calendar-year/,123,92,00:01:37,7,28.57%,17.07%,$0.00
/plss-fabric-version-2-0-release/,123,109,00:02:08,76,52.63%,38.21%,$0.00
/mapping-spotlight-division-of-wildlife-resources-pheasant-release-areas/,122,78,00:01:38,77,57.14%,63.11%,$0.00
/utah-statewide-address-geocoding-web-service-upgrade/,122,83,00:01:27,38,65.79%,36.07%,$0.00
/how-to-wire-up-travis-ci-to-your-js-projects/,121,112,00:03:12,112,93.75%,92.56%,$0.00
/census-luca-training-for-utah/,120,92,00:04:16,61,75.41%,52.50%,$0.00
/data/elevation-terrain-data/2016-lidar-monroe-mtn/,120,101,00:02:01,18,61.11%,29.17%,$0.00
/feedback-wanted-draft-statewide-road-centerlines-schema-v-3-0-x/,119,114,00:00:56,114,97.37%,94.96%,$0.00
/agrc-base-map-services-now-accessible-via-arcgis-online/,118,96,00:01:01,53,54.72%,46.61%,$0.00
/municipal-boundaries-update-for-fourth-quarter-2017-calendar-year/,116,99,00:01:00,19,52.63%,23.28%,$0.00
/data/utilities/telephone-infrastructure-and-rural-telcom-boundaries/,114,78,00:01:01,0,0.00%,8.77%,$0.00
/data/water-data-services/lakes-rivers-dams/,112,78,00:03:11,40,72.50%,50.89%,$0.00
/utahs-open-data-portal-and-the-sgid/,110,88,00:02:08,63,69.84%,55.45%,$0.00
/about/contributing/,108,101,00:01:07,17,70.59%,29.63%,$0.00
/data/water/water-rights-regions/,107,81,00:01:32,7,71.43%,20.56%,$0.00
/data/society/cemeteries/,105,75,00:02:12,25,80.00%,35.24%,$0.00
/major-updates-coming-to-roads-data-model/,105,83,00:03:16,16,43.75%,34.29%,$0.00
/developer/applications/raster/,104,81,00:01:46,6,66.67%,34.62%,$0.00
/about/organizations/user-groups/,103,96,00:04:01,59,83.05%,78.64%,$0.00
/data/demographic/2010-census-data/,103,73,00:04:04,30,73.33%,47.57%,$0.00
/data/recreation/boat-ramps/,101,64,00:01:56,8,50.00%,15.84%,$0.00
/data/environment/drinking-water-sytems-protection-zones/,100,78,00:03:22,7,14.29%,24.00%,$0.00
/data/health/emergency-service-areas/,97,56,00:01:44,7,14.29%,16.49%,$0.00
/data/health/health-districts/,97,65,00:02:11,39,25.64%,42.27%,$0.00
/utah-recognized-in-nsgic-geospatial-excellence-awards/,96,88,00:02:55,46,84.78%,58.33%,$0.00
/data/indices/lidar-indices/,95,63,00:01:08,25,46.15%,33.68%,$0.00
/data/society/state-fuel-sites/,95,64,00:01:13,31,35.48%,33.68%,$0.00
/an-update-to-school-districts-in-the-salt-lake-county-area/,91,78,00:01:19,58,75.86%,52.75%,$0.00
/data/elevation-and-terrain/2015-lidar-rivers/,91,67,00:01:35,13,61.54%,24.18%,$0.00
/data/geoscience/landslides/,91,53,00:02:28,7,57.14%,24.18%,$0.00
/data/indices/national-grid-index/,91,82,00:01:21,60,75.00%,69.23%,$0.00
/utah-sgid-statewide-roads-data-layer-updates-01182018/,90,71,00:01:05,12,33.33%,21.11%,$0.00
/data/society/state-facilities/,89,65,00:01:48,12,75.00%,23.60%,$0.00
/using-agrcs-new-web-mercator-services-in-your-web-maps/,89,70,00:01:44,25,88.00%,49.44%,$0.00
/agrc-status/,88,73,00:02:02,15,73.33%,35.23%,$0.00
/foss4g-2017/,87,79,00:03:11,42,85.71%,64.37%,$0.00
/statewide-lidar-plan-for-utah/,84,64,00:02:19,34,41.18%,34.52%,$0.00
/utah-sgid-statewide-roads-data-layer-updates-09292017/,83,68,00:00:39,7,57.14%,16.87%,$0.00
/work-group-recommends-expanded-gis-parcel-sharing/,83,68,00:01:42,12,50.00%,30.12%,$0.00
/geopdfs/,80,61,00:02:09,38,73.68%,58.75%,$0.00
/gis-data-sharing/,80,62,00:00:50,23,47.83%,30.00%,$0.00
/utah-acquires-high-resolution-aerial-photography-license/,80,73,00:02:26,23,65.22%,43.75%,$0.00
/data/political/2002-2011-house-senate-congressional-districts/,77,50,00:01:33,6,33.33%,20.78%,$0.00
/data/elevation-and-terrain/2016-lidar-monroe-mtn/,76,53,00:02:17,11,81.82%,23.68%,$0.00
/new-generalized-archaeology-dataset-in-the-sgid/,76,42,00:01:06,33,54.55%,36.84%,$0.00
/plss-corner-management-web-application-redesign/,75,55,00:01:54,39,58.97%,57.33%,$0.00
/about-our-new-v6-website-in-ghpages/,73,47,00:01:12,17,41.18%,32.88%,$0.00
/data/elevation-terrain-data/2-meter-auto-correlated-elevation-models/,73,50,00:01:53,7,57.14%,24.66%,$0.00
/using-the-mapserv-utah-gov-api-to-geocode-address/,73,57,00:01:40,30,63.33%,49.32%,$0.00
/data/elevation-and-terrain/2016-lidar-forge/,72,54,00:01:04,7,42.86%,15.28%,$0.00
/converting-sgid-data-downloads-to-drive/,71,58,00:02:28,18,55.56%,28.17%,$0.00
/data/elevation-terrain-data/2-meter-contours-salt-lake-county-only/,70,39,00:01:31,13,53.85%,27.14%,$0.00
/utah-sgid-statewide-roads-data-layer-updates-10272017/,70,58,00:02:23,17,58.82%,27.14%,$0.00
/gps-network-now-on-trimble-pivot-vrs-system/,69,63,00:03:14,54,70.37%,73.91%,$0.00
/dnr-continues-to-build-gis-value-with-roi-documentation/,68,62,00:05:49,59,88.14%,85.29%,$0.00
/data/aerial-photography/1936-1952-soil-conservation-service-scs-photomaps/,67,38,00:02:48,3,33.33%,19.40%,$0.00
/data/how-to-connect-to-the-sgid-via-sde/,67,55,00:02:27,27,59.26%,43.28%,$0.00
/google-imagery-license-update-march-5th/,67,47,00:02:18,30,53.33%,32.84%,$0.00
/data/sgid-cadastre/parcels/,66,62,00:16:34,62,95.16%,93.94%,$0.00
/data/elevation-terrain-data/2017-lidar-wvw/,64,50,00:00:31,4,25.00%,21.88%,$0.00
/interactive-map-of-state-fire-restrictions/,64,49,00:01:14,46,76.09%,70.31%,$0.00
/data/usgs-scanned-topographic-maps-drgs/vintage-usgs-topo-maps/,63,60,00:03:37,24,87.50%,53.97%,$0.00
/data/usgs-scanned-topographic-maps/1-to-250000/,63,56,00:02:27,14,78.57%,52.38%,$0.00
/large-format-utah-political-district-maps-now-available/,62,48,00:01:17,44,70.45%,72.58%,$0.00
/utah-sgid-statewide-roads-data-layer-updates-01042018/,62,51,00:00:30,10,50.00%,24.19%,$0.00
/data/political/judicial-districts/,61,42,00:01:13,3,33.33%,16.39%,$0.00
/data-schema-released-for-expanded-gis-parcel-sharing/,60,49,00:01:08,7,71.43%,40.00%,$0.00
/about/visiting-agrc/,59,49,00:01:56,16,81.25%,69.49%,$0.00
/important-gis-web-services-continuity-notes-from-dnr-and-agrc/,58,53,00:01:58,49,67.35%,63.79%,$0.00
/data/aerial-photography/1970s-1-meter-blm-orthophotography/,57,35,00:02:17,3,66.67%,28.07%,$0.00
/data/google-imagery-license-signup/,57,40,00:00:47,0,0.00%,10.53%,$0.00
/data/water-data-services/watersheds/,57,41,00:02:51,29,75.86%,54.39%,$0.00
/license-disclaimer/,57,47,00:00:47,10,60.00%,38.60%,$0.00
/utah-sgid-statewide-roads-data-layer-updates-11302017/,56,47,00:00:40,4,75.00%,21.43%,$0.00
/agrc-web-mapping-services-demo/,53,41,00:01:06,29,58.62%,52.83%,$0.00
/data/water-data-services/wetlands/,52,33,00:01:09,25,72.00%,48.08%,$0.00
/sgid-using-utah-gis-dem-data-to-visualize-terrain/,52,42,00:00:51,19,57.89%,46.15%,$0.00
/new-utah-web-page-for-important-census-luca-information/,51,42,00:01:00,7,71.43%,15.69%,$0.00
/sgid-data-lifecycle/,51,47,00:01:54,21,61.90%,39.22%,$0.00
/data/health/emergency-regions/,50,36,00:00:58,4,0.00%,12.00%,$0.00
/developer/applications/locate/,50,39,00:00:57,7,71.43%,28.00%,$0.00
/developer/blog/,50,40,00:00:20,2,50.00%,14.00%,$0.00
/using-base-maps-with-non-standard-coordinate-systems-in-leafletjs/,49,36,00:04:20,33,72.73%,59.18%,$0.00
/utah-mapping-resources-well-prepared-for-nextgen-911/,48,38,00:07:31,32,71.88%,66.67%,$0.00
/data/usgs-scanned-topographic-maps-drgs/quad-number-usgs-scanned-topographic-maps-1100000-geotiff/,47,38,00:01:39,23,73.91%,55.32%,$0.00
/naip-2016-now-available/,47,40,00:00:50,13,53.85%,25.53%,$0.00
/code-c-/c-displaying-an-empty-gridview,46,46,00:00:00,46,2.17%,100.00%,$0.00
/about/gis-for-911/,45,40,00:03:24,26,76.92%,68.89%,$0.00
/agrc-edg-presentation/,45,33,00:01:08,10,30.00%,11.11%,$0.00
/data/gis-data-sharing/,45,38,00:02:51,15,46.67%,31.11%,$0.00
/wasatch-front-lidar-services-now-available/,44,32,00:01:39,5,60.00%,20.45%,$0.00
/about/strategic-and-business-plans/,43,23,00:01:26,6,50.00%,32.56%,$0.00
/rethinking-geocoders-adding-local-vernacular-into-the-build-process/,42,39,00:04:28,11,72.73%,42.86%,$0.00
/data/indices/auto-correlated-dem-indices/,40,25,00:02:00,6,33.33%,17.50%,$0.00
/developer/applications/deq-environmental/,40,31,00:01:03,6,66.67%,25.00%,$0.00
/developer/applications/watershed-restoration-initiative/,40,35,00:01:26,7,71.43%,35.00%,$0.00
/maps-n-mobile-utahs-wildlife-vehicle-collision-reporting-system/,40,36,00:02:38,33,84.85%,82.50%,$0.00
/utah-plss-parcel-fabric-update/,40,33,00:02:25,13,46.15%,27.50%,$0.00
/data/ https://www.data.gov,39,25,00:00:17,23,0.00%,7.69%,$0.00
/data/sgid-imagery-services/,38,32,00:03:23,18,44.44%,39.47%,$0.00
/public-lands-survey-system-plss-version-2-0-2015-updates/,36,25,00:00:30,6,66.67%,19.44%,$0.00
/index.php?option=com_comprofiler&task=registers,35,35,00:00:17,35,2.86%,54.29%,$0.00
/data/aerial-photography/1977-1-meter-black-white-doqs-salt-lake-county-only/,34,22,00:03:07,3,33.33%,23.53%,$0.00
/data/aerial-photography/2009-hro-1-foot-color-orthophotography/,34,33,00:01:48,2,100.00%,47.06%,$0.00
/maps-on-the-hill-2017-contest-winners/,34,29,00:02:50,18,88.89%,55.88%,$0.00
/printing-web-maps-with-discover-services/,34,28,00:02:28,7,71.43%,35.29%,$0.00
/road-centerlines-schema-update-and-regional-workshop-notes/,34,19,00:01:18,9,55.56%,20.59%,$0.00
/data/elevation-terrain-data/2015-lidar-rivers/,33,23,00:00:55,5,80.00%,27.27%,$0.00
/data/aerial-photography/mid-1990s-1-meter-black-white-orthophotography/,32,29,00:03:22,1,0.00%,37.50%,$0.00
/data/indices/aerial-photography-indices/,32,28,00:01:59,16,81.25%,62.50%,$0.00
/developer/base-maps/basemap-scales/,32,28,00:01:58,11,72.73%,59.38%,$0.00
/mapping-utah-s-wireless-emergency-call-routing-system/,32,29,00:04:42,24,79.17%,62.50%,$0.00
/new-lidar-and-orthophotography-for-utah-and-colorados-most-scenic-rivers/,32,24,00:00:33,19,57.89%,43.75%,$0.00
/utah-sgid-statewide-roads-data-layer-updates-08152017/,32,26,00:02:30,1,0.00%,9.38%,$0.00
/arc-gis-online-web-mercator-and-opendata/,31,26,00:01:46,8,37.50%,35.48%,$0.00
/data/aerial-photography/2003-uao-1-foot-color-orthophotography/,31,29,00:05:30,17,82.35%,70.97%,$0.00
/google-imagery-service-speed-enhancements-more/,31,29,00:01:05,7,100.00%,38.71%,$0.00
/updates-for-the-municipal-boundaries-are-available-now/,31,28,00:01:03,27,66.67%,67.74%,$0.00
/where-and-how-high-resolution-base-maps-and-google-imagery-useage/,31,27,00:00:55,22,72.73%,54.84%,$0.00
/mapping-spotlight-enhanced-wetlands-dataset-from-the-utah-geological-survey/,30,21,00:01:53,6,50.00%,43.33%,$0.00
/the-esri-api-for-javascriptdojo-build-system-saga-continues/,30,28,00:00:34,26,84.62%,83.33%,$0.00
/about/organizations/geographic-names-committee/,29,22,00:00:28,16,56.25%,44.83%,$0.00
/data/usgs-scanned-topographic-maps-drgs/quad-name-usgs-scanned-topographic-maps-1250000-geotiff/,29,27,00:01:12,8,75.00%,34.48%,$0.00
/developer/applications/plss/,29,19,00:03:26,7,28.57%,27.59%,$0.00
/turn-gps-network/,29,23,00:01:06,13,61.54%,65.52%,$0.00
